Function,Total Number,N,Execution Time
EC2,18900,60,0.261494
EC2,18900,70,0.283375
EC2,18900,80,0.310442
EC2,18900,90,0.339314
EC2,18900,100,0.370792
EC2,18900,110,0.416297
EC2,18900,120,0.441354
EC2,18900,130,0.480653
EC2,18900,140,0.522204
EC2,18900,150,0.565914
EC2,18900,160,0.611718
EC2,18900,170,0.659028
EC2,18900,180,0.710600
EC2,18900,190,0.764464
EC2,18900,200,0.819974
EC2,18900,210,0.876645
EC2,18900,220,0.936810
EC2,18900,230,0.997517
EC2,18900,240,1.061525
EC2,18900,250,1.126223
EC2,18900,260,1.193139
EC2,18900,270,1.261765
EC2,18900,280,1.332062
EC2,18900,290,1.404821
EC2,18900,300,1.480040
EC2,18900,310,1.555485
EC2,18900,320,1.633652
EC2,18900,330,1.714365
EC2,18900,340,1.796160
EC2,18900,350,1.879118
EC2,18900,360,1.965525
EC2,18900,370,2.051473
EC2,18900,380,2.141021
EC2,18900,390,2.232682
EC2,18900,400,2.325042
EC2,18900,410,2.421625
EC2,18900,420,2.517169
EC2,18900,430,2.615011
EC2,18900,440,2.713666
EC2,18900,450,2.814196
EC2,18900,460,2.916980
EC2,18900,470,3.029554
EC2,18900,480,3.126666
EC2,18900,490,3.233861
EC2,18900,500,3.371533
EC2,18900,510,3.453693
EC2,18900,520,3.566260
EC2,18900,530,3.680347
EC2,18900,540,3.796535
EC2,18900,550,3.912217
EC2,18900,560,4.029748
EC2,18900,570,4.149031
EC2,18900,580,4.270367
EC2,18900,590,4.392876
EC2,18900,600,4.518349
EC2,18900,610,4.640881
EC2,18900,620,4.780555
EC2,18900,630,4.897158
EC2,18900,640,5.025872
EC2,18900,650,5.155746
EC2,18900,660,5.287672
EC2,18900,670,5.422057
EC2,18900,680,5.556537
EC2,18900,690,5.693235
EC2,18900,700,5.831267
EC2,18900,710,5.973393
EC2,18900,720,6.124545
EC2,18900,730,6.258753
EC2,18900,740,6.400077
EC2,18900,750,6.545458
EC2,18900,760,6.692653
EC2,18900,770,6.839636
EC2,18900,780,6.991610
EC2,18900,790,7.142377
EC2,18900,800,7.290335
EC2,18900,810,7.459872
EC2,18900,820,7.597614
EC2,18900,830,7.753676
EC2,18900,840,7.905072
EC2,18900,850,8.063401
EC2,18900,860,8.220573
EC2,18900,870,8.378228
EC2,18900,880,8.547525
EC2,18900,890,8.699360
EC2,18900,900,8.864101
EC2,18900,910,9.025409
EC2,18900,920,9.191425
EC2,18900,930,9.358488
EC2,18900,940,9.526536
EC2,18900,950,9.705671
EC2,18900,960,9.922018
EC2,18900,970,10.035023
EC2,18900,980,10.208469
EC2,18900,990,10.380906
EC2,18900,1000,10.554545
Main,18900,10,0.745266
Main,18900,20,0.765337
Main,18900,30,0.747930
Main,18900,40,0.749287
Main,18900,50,0.749320
Main,18900,60,0.747151
Main,18900,70,0.750110
Main,18900,80,0.753647
Main,18900,90,0.754568
Main,18900,100,0.750360
Main,18900,110,0.751965
Main,18900,120,0.755023
Main,18900,130,0.758895
Main,18900,140,0.757385
Main,18900,150,0.756881
Main,18900,160,0.761024
Main,18900,170,0.759967
Main,18900,180,0.761114
Main,18900,190,0.763683
Main,18900,200,0.761699
Main,18900,210,0.758802
Main,18900,220,0.763199
Main,18900,230,0.761528
Main,18900,240,0.765342
Main,18900,250,0.760846
Main,18900,260,0.764563
Main,18900,270,0.765255
Main,18900,280,0.764442
Main,18900,290,0.764204
Main,18900,300,0.768550
Main,18900,310,0.766920
Main,18900,320,0.769149
Main,18900,330,0.767969
Main,18900,340,0.769397
Main,18900,350,0.769746
Main,18900,360,0.771674
Main,18900,370,0.771303
Main,18900,380,0.769661
Main,18900,390,0.774158
Main,18900,400,0.775204
Main,18900,410,0.773793
Main,18900,420,0.773284
Main,18900,430,0.773200
Main,18900,440,0.771533
Main,18900,450,0.775293
Main,18900,460,0.777312
Main,18900,470,0.779816
Main,18900,480,0.778200
Main,18900,490,0.778143
Main,18900,500,0.776004
Main,18900,510,0.777707
Main,18900,520,0.780241
Main,18900,530,0.776168
Main,18900,540,0.779707
Main,18900,550,0.783383
Main,18900,560,0.779404
Main,18900,570,0.783115
Main,18900,580,0.779860
Main,18900,590,0.786874
Main,18900,600,0.783021
Main,18900,610,0.786311
Main,18900,620,0.781997
Main,18900,630,0.784757
Main,18900,640,0.783533
Main,18900,650,0.779096
Main,18900,660,0.787437
Main,18900,670,0.786922
Main,18900,680,0.788125
Main,18900,690,0.785847
Main,18900,700,0.782651
Main,18900,710,0.785925
Main,18900,720,0.783445
Main,18900,730,0.791359
Main,18900,740,0.784481
Main,18900,750,0.790178
Main,18900,760,0.792636
Main,18900,770,0.791966
Main,18900,780,0.793751
Main,18900,790,0.789370
Main,18900,800,0.792802
Main,18900,810,0.791748
Main,18900,820,0.791620
Main,18900,830,0.792716
Main,18900,840,0.793845
Main,18900,850,0.795171
Main,18900,860,0.793597
Main,18900,870,0.792805
Main,18900,880,0.794931
Main,18900,890,0.794000
Main,18900,900,0.816869
Main,18900,910,0.799078
Main,18900,920,0.792271
Main,18900,930,0.797127
Main,18900,940,0.794409
Main,18900,950,0.801296
Main,18900,960,0.799903
Main,18900,970,0.798837
Main,18900,980,0.796711
Main,18900,990,0.799632
Main,18900,1000,0.798443
EC2,19000,10,0.179532
EC2,19000,20,0.189965
EC2,19000,30,0.204462
EC2,19000,40,0.220855
EC2,19000,50,0.240625
EC2,19000,60,0.263107
EC2,19000,70,0.285154
EC2,19000,80,0.312339
EC2,19000,90,0.342578
EC2,19000,100,0.373931
EC2,19000,110,0.408937
EC2,19000,120,0.445902
EC2,19000,130,0.486165
EC2,19000,140,0.527740
EC2,19000,150,0.572729
EC2,19000,160,0.618875
EC2,19000,170,0.667697
EC2,19000,180,0.719525
EC2,19000,190,0.772854
EC2,19000,200,0.828846
EC2,19000,210,0.886265
EC2,19000,220,0.945566
EC2,19000,230,1.007197
EC2,19000,240,1.070979
EC2,19000,250,1.136012
EC2,19000,260,1.204404
EC2,19000,270,1.274836
EC2,19000,280,1.345733
EC2,19000,290,1.420074
EC2,19000,300,1.495094
EC2,19000,310,1.572310
EC2,19000,320,1.651056
EC2,19000,330,1.731212
EC2,19000,340,1.814473
EC2,19000,350,1.898920
EC2,19000,360,1.984640
EC2,19000,370,2.072098
EC2,19000,380,2.161388
EC2,19000,390,2.267096
EC2,19000,400,2.345120
EC2,19000,410,2.440365
EC2,19000,420,2.536804
EC2,19000,430,2.634878
EC2,19000,440,2.735130
EC2,19000,450,2.836548
EC2,19000,460,2.939516
EC2,19000,470,3.046718
EC2,19000,480,3.153670
EC2,19000,490,3.264608
EC2,19000,500,3.374000
EC2,19000,510,3.485839
EC2,19000,520,3.598790
EC2,19000,530,3.714285
EC2,19000,540,3.830595
EC2,19000,550,3.948593
EC2,19000,560,4.070036
EC2,19000,570,4.201833
EC2,19000,580,4.312606
EC2,19000,590,4.485644
EC2,19000,600,4.563621
EC2,19000,610,4.690860
EC2,19000,620,4.818407
EC2,19000,630,4.947812
EC2,19000,640,5.076673
EC2,19000,650,5.208273
EC2,19000,660,5.343764
EC2,19000,670,5.477630
EC2,19000,680,5.614458
EC2,19000,690,5.753724
EC2,19000,700,5.891739
EC2,19000,710,6.034526
EC2,19000,720,6.172656
EC2,19000,730,6.318049
EC2,19000,740,6.462569
EC2,19000,750,6.607922
EC2,19000,760,6.755269
EC2,19000,770,6.902400
EC2,19000,780,7.051764
EC2,19000,790,7.202078
EC2,19000,800,7.352932
EC2,19000,810,7.505301
EC2,19000,820,7.660480
EC2,19000,830,7.814106
EC2,19000,840,7.968531
EC2,19000,850,8.133864
EC2,19000,860,8.285832
EC2,19000,870,8.444218
EC2,19000,880,8.604938
EC2,19000,890,8.767615
EC2,19000,900,8.931219
EC2,19000,910,9.096202
EC2,19000,920,9.264148
EC2,19000,930,9.430797
EC2,19000,940,9.598971
EC2,19000,950,9.769396
EC2,19000,960,9.939570
EC2,19000,970,10.111072
EC2,19000,980,10.284775
EC2,19000,990,10.484353
EC2,19000,1000,10.633920
Main,19000,10,0.784049
Main,19000,20,0.789693
Main,19000,30,0.789256
Main,19000,40,0.788890
Main,19000,50,0.791222
Main,19000,60,0.791587
Main,19000,70,0.793351
Main,19000,80,0.786771
Main,19000,90,0.795943
Main,19000,100,0.793691
Main,19000,110,0.794734
Main,19000,120,0.793016
Main,19000,130,0.793108
Main,19000,140,0.791932
Main,19000,150,0.790252
Main,19000,160,0.794809
Main,19000,170,0.796532
Main,19000,180,0.798331
Main,19000,190,0.801268
Main,19000,200,0.798957
Main,19000,210,0.800889
Main,19000,220,0.799579
Main,19000,230,0.803354
Main,19000,240,0.803499
Main,19000,250,0.802702
Main,19000,260,0.803656
Main,19000,270,0.806282
Main,19000,280,0.808385
Main,19000,290,0.803985
Main,19000,300,0.805897
Main,19000,310,0.810228
Main,19000,320,0.810639
Main,19000,330,0.808569
Main,19000,340,0.809789
Main,19000,350,0.811017
Main,19000,360,0.812478
Main,19000,370,0.817238
Main,19000,380,0.812953
Main,19000,390,0.813824
Main,19000,400,0.813697
Main,19000,410,0.814623
Main,19000,420,0.814494
Main,19000,430,0.814203
Main,19000,440,0.815304
Main,19000,450,0.813937
Main,19000,460,0.819183
Main,19000,470,0.811410
Main,19000,480,0.817093
Main,19000,490,0.817257
Main,19000,500,0.821251
Main,19000,510,0.819770
Main,19000,520,0.818504
Main,19000,530,0.817367
Main,19000,540,0.823043
Main,19000,550,0.819636
Main,19000,560,0.819811
Main,19000,570,0.820760
Main,19000,580,0.825332
Main,19000,590,0.823398
Main,19000,600,0.820704
