Function,Total Number,N,Execution Time
EC2,100,10,0.026151
EC2,100,10,0.022219
EC2,100,10,0.013147
EC2,100,10,0.019757
EC2,100,10,0.005860
EC2,100,20,0.007370
EC2,100,20,0.005305
EC2,100,20,0.005323
EC2,100,20,0.005618
EC2,100,20,0.006896
EC2,100,30,0.004680
EC2,100,30,0.004924
EC2,100,30,0.004714
EC2,100,30,0.007384
EC2,100,30,0.004684
EC2,100,40,0.004830
EC2,100,40,0.005533
EC2,100,40,0.000520
EC2,100,40,0.004703
EC2,100,40,0.004996
EC2,100,50,0.004644
EC2,100,50,0.002037
EC2,100,50,0.002080
EC2,100,50,0.002017
EC2,100,50,0.005149
EC2,100,60,0.005888
EC2,100,60,0.004868
EC2,100,60,0.002189
EC2,100,60,0.000546
EC2,100,60,0.004970
EC2,100,70,0.000498
EC2,100,70,0.005301
EC2,100,70,0.000552
EC2,100,70,0.006368
EC2,100,70,0.005598
EC2,100,80,0.005232
EC2,100,80,0.000595
EC2,100,80,0.004781
EC2,100,80,0.005083
EC2,100,80,0.000550
EC2,100,90,0.005906
EC2,100,90,0.000530
EC2,100,90,0.000548
EC2,100,90,0.007250
EC2,100,90,0.004580
EC2,100,100,0.000531
EC2,100,100,0.002046
EC2,100,100,0.005500
EC2,100,100,0.008559
EC2,100,100,0.006027
Main,100,10,0.001935
Main,100,10,0.002254
Main,100,10,0.008825
Main,100,10,0.006512
Main,100,10,0.009358
Main,100,20,0.000478
Main,100,20,0.000473
Main,100,20,0.000461
Main,100,20,0.000477
Main,100,20,0.000480
Main,100,30,0.000432
Main,100,30,0.000470
Main,100,30,0.005110
Main,100,30,0.006242
Main,100,30,0.010365
Main,100,40,0.009640
Main,100,40,0.001893
Main,100,40,0.009287
Main,100,40,0.006435
Main,100,40,0.006898
Main,100,50,0.004008
Main,100,50,0.008777
Main,100,50,0.005522
Main,100,50,0.002035
Main,100,50,0.000526
Main,100,60,0.009269
Main,100,60,0.010991
Main,100,60,0.009010
Main,100,60,0.001782
Main,100,60,0.009249
Main,100,70,0.009835
Main,100,70,0.000492
Main,100,70,0.008904
Main,100,70,0.010352
Main,100,70,0.009278
Main,100,80,0.000452
Main,100,80,0.001815
Main,100,80,0.001921
Main,100,80,0.009225
Main,100,80,0.004259
Main,100,90,0.006394
Main,100,90,0.008116
Main,100,90,0.009129
Main,100,90,0.001808
Main,100,90,0.000498
Main,100,100,0.000484
Main,100,100,0.008989
Main,100,100,0.004049
Main,100,100,0.005806
Main,100,100,0.001724
EC2,200,10,0.000463
EC2,200,10,0.005948
EC2,200,10,0.000475
EC2,200,10,0.000440
EC2,200,10,0.000449
EC2,200,20,0.000433
EC2,200,20,0.004945
EC2,200,20,0.004599
EC2,200,20,0.005644
EC2,200,20,0.004589
EC2,200,30,0.001806
EC2,200,30,0.001892
EC2,200,30,0.004536
EC2,200,30,0.004418
EC2,200,30,0.001869
EC2,200,40,0.004086
EC2,200,40,0.001804
EC2,200,40,0.004940
EC2,200,40,0.000515
EC2,200,40,0.000509
EC2,200,50,0.001838
EC2,200,50,0.000494
EC2,200,50,0.004321
EC2,200,50,0.001977
EC2,200,50,0.005834
EC2,200,60,0.000600
EC2,200,60,0.004706
EC2,200,60,0.001884
EC2,200,60,0.003611
EC2,200,60,0.000554
EC2,200,70,0.004920
EC2,200,70,0.000751
EC2,200,70,0.004156
EC2,200,70,0.004957
EC2,200,70,0.000663
EC2,200,80,0.008523
EC2,200,80,0.006734
EC2,200,80,0.006111
EC2,200,80,0.004942
EC2,200,80,0.005084
EC2,200,90,0.000628
EC2,200,90,0.006756
EC2,200,90,0.001986
EC2,200,90,0.004177
EC2,200,90,0.004483
EC2,200,100,0.007188
EC2,200,100,0.000719
EC2,200,100,0.005185
EC2,200,100,0.006423
EC2,200,100,0.006654
EC2,200,110,0.006950
EC2,200,110,0.005200
EC2,200,110,0.004932
EC2,200,110,0.005286
EC2,200,110,0.004331
EC2,200,120,0.006111
EC2,200,120,0.007310
EC2,200,120,0.000687
EC2,200,120,0.005558
EC2,200,120,0.004604
EC2,200,130,0.004608
EC2,200,130,0.004494
EC2,200,130,0.004419
EC2,200,130,0.004040
EC2,200,130,0.004452
EC2,200,140,0.007706
EC2,200,140,0.005181
EC2,200,140,0.005212
EC2,200,140,0.000845
EC2,200,140,0.002333
EC2,200,150,0.007842
EC2,200,150,0.007024
EC2,200,150,0.007025
EC2,200,150,0.004036
EC2,200,150,0.002358
EC2,200,160,0.008521
EC2,200,160,0.002141
EC2,200,160,0.006254
EC2,200,160,0.004682
EC2,200,160,0.006372
EC2,200,170,0.008031
EC2,200,170,0.007234
EC2,200,170,0.014817
EC2,200,170,0.010634
EC2,200,170,0.010063
EC2,200,180,0.004723
EC2,200,180,0.002417
EC2,200,180,0.005251
EC2,200,180,0.005388
EC2,200,180,0.001142
EC2,200,190,0.006953
EC2,200,190,0.007226
EC2,200,190,0.007600
EC2,200,190,0.006234
EC2,200,190,0.005213
EC2,200,200,0.009440
EC2,200,200,0.007273
EC2,200,200,0.007855
EC2,200,200,0.012000
EC2,200,200,0.005829
Main,200,10,0.009584
Main,200,10,0.009705
Main,200,10,0.009946
Main,200,10,0.006726
Main,200,10,0.004519
Main,200,20,0.009108
Main,200,20,0.013752
Main,200,20,0.020160
Main,200,20,0.015422
Main,200,20,0.015910
Main,200,30,0.016299
Main,200,30,0.010437
Main,200,30,0.015086
Main,200,30,0.011902
Main,200,30,0.011419
Main,200,40,0.011810
Main,200,40,0.015679
Main,200,40,0.011677
Main,200,40,0.010943
Main,200,40,0.010533
Main,200,50,0.013263
Main,200,50,0.020309
Main,200,50,0.013744
Main,200,50,0.018431
Main,200,50,0.012460
Main,200,60,0.017507
Main,200,60,0.020175
Main,200,60,0.013502
Main,200,60,0.009727
Main,200,60,0.009473
Main,200,70,0.008669
Main,200,70,0.000478
Main,200,70,0.014648
Main,200,70,0.004420
Main,200,70,0.013243
Main,200,80,0.012214
Main,200,80,0.012002
Main,200,80,0.001903
Main,200,80,0.010150
Main,200,80,0.000489
Main,200,90,0.009130
Main,200,90,0.006928
Main,200,90,0.004305
Main,200,90,0.000733
Main,200,90,0.010918
Main,200,100,0.008777
Main,200,100,0.005777
Main,200,100,0.004286
Main,200,100,0.009702
Main,200,100,0.006521
Main,200,110,0.008275
Main,200,110,0.000507
Main,200,110,0.011133
