Function,Total Number,N,Execution Time
Main,6700,30,0.067660,
Main,6700,40,0.052781,
Main,6700,50,0.071042,
Main,6700,60,0.096585,
Main,6700,70,0.104742,
Main,6700,80,0.103963,
Main,6700,90,0.111277,
Main,6700,100,0.071908,
Main,6700,110,0.074315,
Main,6700,120,0.083237,
Main,6700,130,0.068775,
Main,6700,140,0.086582,
Main,6700,150,0.116477,
Main,6700,160,0.098962,
Main,6700,170,0.128032,
Main,6700,180,0.086916,
Main,6700,190,0.090282,
Main,6700,200,0.090875,
Main,6700,210,0.096222,
Main,6700,220,0.094303,
Main,6700,230,0.081867,
Main,6700,240,0.089384,
Main,6700,250,0.075703,
Main,6700,260,0.088023,
Main,6700,270,0.122825,
Main,6700,280,0.086992,
Main,6700,290,0.111608,
Main,6700,300,0.091620,
Main,6700,310,0.089629,
Main,6700,320,0.089370,
Main,6700,330,0.083009,
Main,6700,340,0.084056,
Main,6700,350,0.104134,
Main,6700,360,0.141258,
Main,6700,370,0.098956,
Main,6700,380,0.076747,
Main,6700,390,0.094982,
Main,6700,400,0.125957,
Main,6700,410,0.133962,
Main,6700,420,0.078407,
Main,6700,430,0.090107,
Main,6700,440,0.087733,
Main,6700,450,0.092804,
Main,6700,460,0.090074,
Main,6700,470,0.095583,
Main,6700,480,0.101960,
Main,6700,490,0.089614,
Main,6700,500,0.091853,
Main,6700,510,0.096959,
Main,6700,520,0.070862,
Main,6700,530,0.073296,
Main,6700,540,0.105792,
Main,6700,550,0.104725,
Main,6700,560,0.087260,
Main,6700,570,0.091796,
Main,6700,580,0.088040,
Main,6700,590,0.079861,
Main,6700,600,0.119785,
Main,6700,610,0.084467,
Main,6700,620,0.090386,
Main,6700,630,0.087979,
Main,6700,640,0.079910,
Main,6700,650,0.073463,
Main,6700,660,0.084198,
Main,6700,670,0.078820,
Main,6700,680,0.092743,
Main,6700,690,0.113118,
Main,6700,700,0.086684,
Main,6700,710,0.099842,
Main,6700,720,0.117889,
Main,6700,730,0.096995,
Main,6700,740,0.100028,
Main,6700,750,0.112870,
Main,6700,760,0.081244,
Main,6700,770,0.087922,
Main,6700,780,0.106941,
Main,6700,790,0.089354,
Main,6700,800,0.097611,
Main,6700,810,0.093986,
Main,6700,820,0.083511,
Main,6700,830,0.083938,
Main,6700,840,0.087226,
Main,6700,850,0.077710,
Main,6700,860,0.085506,
Main,6700,870,0.066128,
Main,6700,880,0.067581,
Main,6700,890,0.066318,
Main,6700,900,0.074040,
Main,6700,910,0.078600,
Main,6700,920,0.078856,
Main,6700,930,0.102072,
Main,6700,940,0.110712,
Main,6700,950,0.118908,
Main,6700,960,0.091545,
Main,6700,970,0.102112,
Main,6700,980,0.078301,
Main,6700,990,0.087169,
EC2,6800,10,0.035206,
EC2,6800,20,0.028854,
EC2,6800,30,0.026351,
EC2,6800,40,0.037220,
EC2,6800,50,0.040090,
EC2,6800,60,0.031455,
EC2,6800,70,0.038740,
EC2,6800,80,0.038750,
EC2,6800,90,0.038172,
EC2,6800,100,0.045870,
EC2,6800,110,0.063261,
EC2,6800,120,0.058664,
EC2,6800,130,0.052051,
EC2,6800,140,0.051402,
EC2,6800,150,0.056641,
EC2,6800,160,0.071760,
EC2,6800,170,0.068554,
EC2,6800,180,0.077099,
EC2,6800,190,0.097883,
EC2,6800,200,0.088413,
EC2,6800,210,0.108347,
EC2,6800,220,0.119087,
EC2,6800,230,0.110639,
EC2,6800,240,0.130286,
EC2,6800,250,0.126638,
EC2,6800,260,0.145621,
EC2,6800,270,0.143506,
EC2,6800,280,0.152384,
EC2,6800,290,0.190587,
EC2,6800,300,0.175434,
EC2,6800,310,0.179871,
EC2,6800,320,0.189257,
EC2,6800,330,0.199180,
EC2,6800,340,0.209003,
EC2,6800,350,0.219117,
EC2,6800,360,0.276680,
EC2,6800,370,0.268485,
EC2,6800,380,0.278641,
EC2,6800,390,0.284213,
EC2,6800,400,0.357626,
EC2,6800,410,0.321986,
EC2,6800,420,0.310787,
EC2,6800,430,0.314306,
EC2,6800,440,0.328381,
EC2,6800,450,0.352277,
EC2,6800,460,0.361472,
EC2,6800,470,0.360420,
EC2,6800,480,0.390963,
EC2,6800,490,0.386249,
EC2,6800,500,0.403629,
EC2,6800,510,0.413485,
EC2,6800,520,0.420435,
EC2,6800,530,0.432151,
EC2,6800,540,0.445483,
EC2,6800,550,0.539203,
EC2,6800,560,0.511169,
EC2,6800,570,0.495585,
EC2,6800,580,0.500738,
EC2,6800,590,0.514093,
EC2,6800,600,0.532971,
EC2,6800,610,0.543183,
EC2,6800,620,0.566728,
EC2,6800,630,0.656001,
EC2,6800,640,0.763664,
EC2,6800,650,0.625084,
EC2,6800,660,0.620750,
EC2,6800,670,0.634100,
EC2,6800,680,0.647665,
EC2,6800,690,0.664610,
EC2,6800,700,0.682699,
EC2,6800,710,0.697751,
EC2,6800,720,0.710601,
EC2,6800,730,0.728673,
EC2,6800,740,0.767854,
EC2,6800,750,0.773741,
EC2,6800,760,0.799169,
EC2,6800,770,0.921191,
EC2,6800,780,0.919637,
EC2,6800,790,0.907768,
EC2,6800,800,0.853836,
EC2,6800,810,0.867910,
EC2,6800,820,0.882517,
EC2,6800,830,0.896967,
EC2,6800,840,0.915248,
EC2,6800,850,0.933697,
EC2,6800,860,0.948689,
EC2,6800,870,0.971988,
EC2,6800,880,0.993103,
EC2,6800,890,0.998208,
EC2,6800,900,1.017359,
EC2,6800,910,1.049204,
EC2,6800,920,1.061008,
EC2,6800,930,1.085177,
EC2,6800,940,1.096845,
EC2,6800,950,1.123820,
EC2,6800,960,1.137550,
EC2,6800,970,1.199783,
EC2,6800,980,1.232934,
EC2,6800,990,1.198674,
Main,6800,10,0.064048,
Main,6800,20,0.063774,
Main,6800,30,0.058091,
Main,6800,40,0.073981,
Main,6800,50,0.084155,
Main,6800,60,0.067343,
Main,6800,70,0.091839,
Main,6800,80,0.058697,
Main,6800,90,0.077238,
Main,6800,100,0.080522,
Main,6800,110,0.067663,
Main,6800,120,0.077803,
Main,6800,130,0.088568,
Main,6800,140,0.087624,
Main,6800,150,0.062958,
Main,6800,160,0.079604,
Main,6800,170,0.076682,
Main,6800,180,0.086699,
Main,6800,190,0.099509,
Main,6800,200,0.071100,
Main,6800,210,0.085465,
Main,6800,220,0.067669,
Main,6800,230,0.062425,
Main,6800,240,0.067838,
Main,6800,250,0.072770,
Main,6800,260,0.095780,
Main,6800,270,0.123393,
Main,6800,280,0.086294,
Main,6800,290,0.074356,
Main,6800,300,0.103979,
Main,6800,310,0.070627,
Main,6800,320,0.066564,
Main,6800,330,0.073790,
Main,6800,340,0.072800,
Main,6800,350,0.084145,
Main,6800,360,0.079357,
Main,6800,370,0.080620,
Main,6800,380,0.073385,
Main,6800,390,0.079008,
Main,6800,400,0.089823,
Main,6800,410,0.096910,
Main,6800,420,0.085405,
Main,6800,430,0.081675,
Main,6800,440,0.083036,
Main,6800,450,0.084861,
Main,6800,460,0.085996,
Main,6800,470,0.076200,
Main,6800,480,0.066083,
Main,6800,490,0.084432,
Main,6800,500,0.079058,
Main,6800,510,0.110262,
Main,6800,520,0.083192,
Main,6800,530,0.078984,
Main,6800,540,0.078162,
Main,6800,550,0.089654,
Main,6800,560,0.079389,
Main,6800,570,0.067969,
Main,6800,580,0.059144,
Main,6800,590,0.088813,
Main,6800,600,0.084309,
Main,6800,610,0.125122,
Main,6800,620,0.088899,
Main,6800,630,0.089194,
Main,6800,640,0.075840,
Main,6800,650,0.103860,
Main,6800,660,0.094811,
Main,6800,670,0.116502,
Main,6800,680,0.069706,
Main,6800,690,0.092788,
Main,6800,700,0.097030,
Main,6800,710,0.069293,
Main,6800,720,0.083486,
Main,6800,730,0.084961,
Main,6800,740,0.081915,
Main,6800,750,0.068352,
Main,6800,760,0.080156,
Main,6800,770,0.082518,
Main,6800,780,0.083321,
Main,6800,790,0.095015,
Main,6800,800,0.083977,
Main,6800,810,0.082657,
Main,6800,820,0.139219,
Main,6800,830,0.097188,
Main,6800,840,0.126713,
Main,6800,850,0.077287,
Main,6800,860,0.092388,
Main,6800,870,0.076492,
Main,6800,880,0.071877,
Main,6800,890,0.106282,
Main,6800,900,0.093980,
Main,6800,910,0.122500,
Main,6800,920,0.140346,
Main,6800,930,0.123276,
Main,6800,940,0.098963,
Main,6800,950,0.083386,
Main,6800,960,0.139637,
Main,6800,970,0.090191,
Main,6800,980,0.069817,
Main,6800,990,0.085575,
EC2,6900,10,0.028396,
EC2,6900,20,0.024020,
EC2,6900,30,0.039152,
EC2,6900,40,0.051449,
EC2,6900,50,0.030804,
EC2,6900,60,0.033219,
EC2,6900,70,0.033055,
EC2,6900,80,0.030138,
EC2,6900,90,0.042476,
EC2,6900,100,0.049306,
EC2,6900,110,0.055130,
EC2,6900,120,0.059070,
EC2,6900,130,0.065887,
EC2,6900,140,0.075919,
EC2,6900,150,0.076711,
EC2,6900,160,0.064101,
EC2,6900,170,0.070483,
EC2,6900,180,0.086839,
EC2,6900,190,0.083172,
EC2,6900,200,0.093568,
EC2,6900,210,0.113437,
EC2,6900,220,0.104971,
EC2,6900,230,0.126137,
EC2,6900,240,0.120893,
EC2,6900,250,0.130196,
EC2,6900,260,0.152262,
EC2,6900,270,0.146157,
EC2,6900,280,0.167653,
EC2,6900,290,0.172457,
EC2,6900,300,0.173358,
EC2,6900,310,0.198012,
EC2,6900,320,0.192513,
EC2,6900,330,0.202573,
EC2,6900,340,0.213024,
EC2,6900,350,0.223213,
EC2,6900,360,0.233724,
EC2,6900,370,0.244313,
EC2,6900,380,0.268776,
EC2,6900,390,0.314755,
EC2,6900,400,0.292258,
EC2,6900,410,0.305579,
EC2,6900,420,0.303444,
EC2,6900,430,0.311338,
EC2,6900,440,0.346812,
EC2,6900,450,0.363917,
EC2,6900,460,0.391404,
EC2,6900,470,0.392622,
EC2,6900,480,0.402832,
EC2,6900,490,0.394485,
EC2,6900,500,0.402142,
EC2,6900,510,0.410021,
EC2,6900,520,0.428701,
EC2,6900,530,0.443777,
EC2,6900,540,0.455993,
EC2,6900,550,0.507591,
EC2,6900,560,0.604385,
EC2,6900,570,0.671617,
EC2,6900,580,0.612484,
EC2,6900,590,0.542009,
EC2,6900,600,0.548234,
EC2,6900,610,0.550180,
EC2,6900,620,0.562828,
EC2,6900,630,0.578721,
EC2,6900,640,0.592644,
EC2,6900,650,0.609799,
EC2,6900,660,0.622244,
EC2,6900,670,0.639250,
EC2,6900,680,0.664264,
EC2,6900,690,0.691027,
EC2,6900,700,0.694248,
EC2,6900,710,0.702698,
EC2,6900,720,0.717397,
EC2,6900,730,0.735127,
EC2,6900,740,0.753025,
EC2,6900,750,0.784136,
EC2,6900,760,0.811489,
EC2,6900,770,0.830997,
EC2,6900,780,0.828700,
EC2,6900,790,0.844261,
EC2,6900,800,0.860416,
EC2,6900,810,0.899159,
EC2,6900,820,0.893785,
EC2,6900,830,0.905122,
EC2,6900,840,0.924480,
EC2,6900,850,0.953337,
EC2,6900,860,0.955135,
EC2,6900,870,0.980357,
EC2,6900,880,0.989125,
EC2,6900,890,1.008120,
EC2,6900,900,1.028852,
EC2,6900,910,1.050438,
EC2,6900,920,1.077335,
EC2,6900,930,1.185331,
EC2,6900,940,1.189878,
EC2,6900,950,1.177548,
EC2,6900,960,1.196297,
EC2,6900,970,1.290219,
EC2,6900,980,1.269788,
EC2,6900,990,1.206744,
Main,6900,10,0.064897,
Main,6900,20,0.084467,
Main,6900,30,0.077585,
Main,6900,40,0.097571,
Main,6900,50,0.076157,
Main,6900,60,0.124485,
Main,6900,70,0.076497,
Main,6900,80,0.071055,
Main,6900,90,0.068005,
Main,6900,100,0.088925,
Main,6900,110,0.134166,
Main,6900,120,0.087385,
Main,6900,130,0.086213,
Main,6900,140,0.063353,
Main,6900,150,0.093505,
Main,6900,160,0.134919,
Main,6900,170,0.084193,
Main,6900,180,0.110264,
Main,6900,190,0.073849,
Main,6900,200,0.080175,
Main,6900,210,0.064829,
Main,6900,220,0.063433,
Main,6900,230,0.071530,
Main,6900,240,0.095372,
Main,6900,250,0.099899,
Main,6900,260,0.082339,
Main,6900,270,0.117586,
Main,6900,280,0.078524,
Main,6900,290,0.093033,
Main,6900,300,0.071977,
Main,6900,310,0.124864,
Main,6900,320,0.116152,
Main,6900,330,0.084770,
Main,6900,340,0.068078,
Main,6900,350,0.076436,
Main,6900,360,0.089074,
Main,6900,370,0.078850,
Main,6900,380,0.086003,
Main,6900,390,0.081929,
Main,6900,400,0.078287,
Main,6900,410,0.108446,
Main,6900,420,0.106521,
Main,6900,430,0.065568,
Main,6900,440,0.082636,
Main,6900,450,0.080495,
Main,6900,460,0.065405,
Main,6900,470,0.068997,
Main,6900,480,0.067685,
Main,6900,490,0.082256,
Main,6900,500,0.081198,
Main,6900,510,0.077397,
Main,6900,520,0.083869,
Main,6900,530,0.128704,
Main,6900,540,0.081603,
Main,6900,550,0.087427,
Main,6900,560,0.083367,
Main,6900,570,0.115130,
Main,6900,580,0.090550,
Main,6900,590,0.080052,
Main,6900,600,0.099641,
Main,6900,610,0.086424,
Main,6900,620,0.075049,
Main,6900,630,0.070281,
Main,6900,640,0.082111,
Main,6900,650,0.075657,
Main,6900,660,0.104548,
Main,6900,670,0.107106,
Main,6900,680,0.071421,
Main,6900,690,0.091266,
Main,6900,700,0.100086,
Main,6900,710,0.063460,
Main,6900,720,0.086993,
Main,6900,730,0.085722,
Main,6900,740,0.082074,
Main,6900,750,0.070471,
Main,6900,760,0.064070,
Main,6900,770,0.055545,
Main,6900,780,0.073144,
Main,6900,790,0.073718,
Main,6900,800,0.085775,
Main,6900,810,0.089547,
Main,6900,820,0.083583,
Main,6900,830,0.071500,
Main,6900,840,0.073416,
Main,6900,850,0.074526,
Main,6900,860,0.072720,
Main,6900,870,0.081471,
Main,6900,880,0.081078,
Main,6900,890,0.076745,
Main,6900,900,0.086309,
Main,6900,910,0.072439,
Main,6900,920,0.083527,
Main,6900,930,0.080208,
Main,6900,940,0.118289,
Main,6900,950,0.081289,
Main,6900,960,0.065120,
Main,6900,970,0.067487,
Main,6900,980,0.072798,
Main,6900,990,0.062396,
EC2,7000,10,0.018045,
EC2,7000,20,0.019884,
EC2,7000,30,0.024317,
EC2,7000,40,0.022741,
EC2,7000,50,0.015021,
EC2,7000,60,0.028020,
EC2,7000,70,0.031431,
EC2,7000,80,0.034903,
EC2,7000,90,0.039127,
EC2,7000,100,0.045745,
EC2,7000,110,0.046736,
EC2,7000,120,0.047979,
EC2,7000,130,0.047586,
EC2,7000,140,0.053541,
EC2,7000,150,0.060279,
EC2,7000,160,0.081472,
EC2,7000,170,0.071282,
EC2,7000,180,0.078823,
EC2,7000,190,0.101373,
EC2,7000,200,0.114884,
EC2,7000,210,0.111298,
EC2,7000,220,0.115059,
EC2,7000,230,0.115511,
EC2,7000,240,0.138462,
EC2,7000,250,0.130601,
EC2,7000,260,0.139910,
EC2,7000,270,0.148909,
EC2,7000,280,0.172242,
EC2,7000,290,0.181277,
EC2,7000,300,0.175435,
EC2,7000,310,0.185336,
EC2,7000,320,0.194747,
EC2,7000,330,0.220052,
EC2,7000,340,0.215339,
EC2,7000,350,0.226215,
EC2,7000,360,0.255775,
EC2,7000,370,0.260851,
EC2,7000,380,0.258536,
EC2,7000,390,0.282628,
EC2,7000,400,0.308814,
EC2,7000,410,0.317195,
EC2,7000,420,0.310403,
EC2,7000,430,0.317478,
EC2,7000,440,0.378760,
EC2,7000,450,0.456916,
EC2,7000,460,0.382536,
EC2,7000,470,0.410279,
EC2,7000,480,0.385400,
EC2,7000,490,0.393821,
EC2,7000,500,0.450432,
EC2,7000,510,0.456720,
EC2,7000,520,0.456504,
EC2,7000,530,0.453924,
EC2,7000,540,0.466608,
EC2,7000,550,0.496157,
EC2,7000,560,0.513620,
EC2,7000,570,0.591264,
EC2,7000,580,0.555739,
EC2,7000,590,0.548693,
EC2,7000,600,0.549495,
EC2,7000,610,0.562149,
EC2,7000,620,0.579857,
EC2,7000,630,0.595496,
EC2,7000,640,0.647913,
EC2,7000,650,0.657853,
EC2,7000,660,0.657899,
EC2,7000,670,0.665946,
EC2,7000,680,0.678105,
EC2,7000,690,0.695485,
EC2,7000,700,0.701774,
EC2,7000,710,0.789701,
EC2,7000,720,0.816636,
EC2,7000,730,0.826448,
EC2,7000,740,0.788539,
EC2,7000,750,0.853844,
EC2,7000,760,0.820472,
EC2,7000,770,0.826122,
EC2,7000,780,0.842736,
EC2,7000,790,0.853814,
EC2,7000,800,0.878601,
EC2,7000,810,0.918547,
EC2,7000,820,0.927529,
EC2,7000,830,0.922263,
EC2,7000,840,0.942068,
EC2,7000,850,0.957252,
EC2,7000,860,0.975251,
EC2,7000,870,0.993223,
EC2,7000,880,1.159140,
EC2,7000,890,1.080120,
EC2,7000,900,1.072145,
EC2,7000,910,1.073633,
EC2,7000,920,1.100830,
EC2,7000,930,1.114095,
EC2,7000,940,1.127235,
EC2,7000,950,1.150233,
EC2,7000,960,1.162995,
EC2,7000,970,1.185531,
EC2,7000,980,1.310973,
EC2,7000,990,1.360526,
Main,7000,10,0.091912,
Main,7000,20,0.086035,
Main,7000,30,0.088521,
Main,7000,40,0.084848,
Main,7000,50,0.079031,
Main,7000,60,0.083856,
Main,7000,70,0.081024,
Main,7000,80,0.096301,
Main,7000,90,0.082488,
Main,7000,100,0.072766,
Main,7000,110,0.079784,
Main,7000,120,0.080221,
Main,7000,130,0.094603,
Main,7000,140,0.093241,
Main,7000,150,0.084604,
Main,7000,160,0.098597,
Main,7000,170,0.094729,
Main,7000,180,0.083144,
Main,7000,190,0.062674,
Main,7000,200,0.093063,
Main,7000,210,0.132524,
Main,7000,220,0.079738,
Main,7000,230,0.091889,
Main,7000,240,0.084159,
Main,7000,250,0.086305,
Main,7000,260,0.077382,
Main,7000,270,0.077515,
Main,7000,280,0.090294,
Main,7000,290,0.079455,
Main,7000,300,0.083725,
Main,7000,310,0.120281,
Main,7000,320,0.090081,
Main,7000,330,0.071432,
Main,7000,340,0.086416,
Main,7000,350,0.085766,
Main,7000,360,0.072826,
Main,7000,370,0.098675,
Main,7000,380,0.094462,
Main,7000,390,0.076685,
Main,7000,400,0.065859,
Main,7000,410,0.068892,
Main,7000,420,0.096672,
Main,7000,430,0.074298,
Main,7000,440,0.088278,
Main,7000,450,0.085437,
Main,7000,460,0.086877,
Main,7000,470,0.121766,
Main,7000,480,0.139013,
Main,7000,490,0.086924,
Main,7000,500,0.080288,
Main,7000,510,0.098861,
Main,7000,520,0.080143,
Main,7000,530,0.073832,
Main,7000,540,0.115026,
Main,7000,550,0.095947,
Main,7000,560,0.080089,
Main,7000,570,0.084151,
Main,7000,580,0.098173,
Main,7000,590,0.112001,
Main,7000,600,0.092820,
Main,7000,610,0.074804,
Main,7000,620,0.089035,
Main,7000,630,0.076771,
Main,7000,640,0.069772,
Main,7000,650,0.071955,
Main,7000,660,0.081656,
Main,7000,670,0.079839,
Main,7000,680,0.071331,
Main,7000,690,0.088181,
Main,7000,700,0.090610,
Main,7000,710,0.112594,
Main,7000,720,0.091803,
Main,7000,730,0.112999,
Main,7000,740,0.088072,
Main,7000,750,0.079871,
Main,7000,760,0.096716,
Main,7000,770,0.092051,
Main,7000,780,0.078539,
Main,7000,790,0.083005,
Main,7000,800,0.088616,
Main,7000,810,0.113414,
Main,7000,820,0.083856,
Main,7000,830,0.132517,
Main,7000,840,0.081709,
Main,7000,850,0.133764,
Main,7000,860,0.117719,
Main,7000,870,0.105778,
Main,7000,880,0.084652,
Main,7000,890,0.089042,
Main,7000,900,0.109804,
Main,7000,910,0.121877,
Main,7000,920,0.087397,
Main,7000,930,0.098564,
Main,7000,940,0.094220,
Main,7000,950,0.091838,
Main,7000,960,0.119658,
Main,7000,970,0.094699,
Main,7000,980,0.091322,
Main,7000,990,0.121100,
EC2,7100,10,0.045070,
EC2,7100,20,0.046508,
EC2,7100,30,0.030083,
EC2,7100,40,0.040036,
EC2,7100,50,0.030729,
EC2,7100,60,0.034115,
EC2,7100,70,0.038395,
EC2,7100,80,0.044267,
EC2,7100,90,0.052994,
EC2,7100,100,0.051944,
EC2,7100,110,0.065202,
EC2,7100,120,0.070479,
EC2,7100,130,0.079758,
EC2,7100,140,0.075951,
EC2,7100,150,0.091728,
EC2,7100,160,0.089646,
EC2,7100,170,0.092344,
EC2,7100,180,0.090550,
EC2,7100,190,0.095547,
EC2,7100,200,0.093667,
EC2,7100,210,0.107275,
EC2,7100,220,0.119270,
EC2,7100,230,0.143941,
EC2,7100,240,0.136546,
EC2,7100,250,0.142959,
EC2,7100,260,0.142648,
EC2,7100,270,0.167740,
EC2,7100,280,0.178022,
EC2,7100,290,0.170258,
EC2,7100,300,0.180274,
EC2,7100,310,0.189628,
EC2,7100,320,0.199770,
EC2,7100,330,0.210075,
EC2,7100,340,0.221836,
EC2,7100,350,0.232485,
EC2,7100,360,0.243029,
EC2,7100,370,0.265830,
EC2,7100,380,0.264185,
EC2,7100,390,0.277144,
EC2,7100,400,0.294244,
EC2,7100,410,0.299629,
EC2,7100,420,0.334558,
EC2,7100,430,0.333160,
EC2,7100,440,0.350528,
EC2,7100,450,0.353429,
EC2,7100,460,0.363609,
EC2,7100,470,0.376706,
EC2,7100,480,0.408785,
EC2,7100,490,0.420430,
EC2,7100,500,0.431026,
EC2,7100,510,0.438398,
EC2,7100,520,0.453701,
EC2,7100,530,0.459917,
EC2,7100,540,0.494850,
EC2,7100,550,0.513736,
EC2,7100,560,0.515576,
EC2,7100,570,0.527229,
EC2,7100,580,0.546173,
EC2,7100,590,0.549168,
EC2,7100,600,0.563124,
EC2,7100,610,0.577817,
EC2,7100,620,0.593026,
EC2,7100,630,0.610104,
EC2,7100,640,0.621065,
EC2,7100,650,0.643259,
EC2,7100,660,0.704247,
EC2,7100,670,0.693308,
EC2,7100,680,0.709518,
EC2,7100,690,0.710572,
EC2,7100,700,0.795750,
EC2,7100,710,0.763228,
EC2,7100,720,0.763458,
EC2,7100,730,0.776620,
EC2,7100,740,0.795278,
EC2,7100,750,0.814913,
EC2,7100,760,0.839855,
EC2,7100,770,0.852486,
EC2,7100,780,0.972449,
EC2,7100,790,0.921411,
EC2,7100,800,1.006495,
EC2,7100,810,1.061160,
EC2,7100,820,0.962886,
EC2,7100,830,0.951067,
EC2,7100,840,0.973137,
EC2,7100,850,0.990408,
EC2,7100,860,1.001881,
EC2,7100,870,1.021934,
EC2,7100,880,1.040785,
EC2,7100,890,1.060440,
EC2,7100,900,1.082878,
EC2,7100,910,1.103869,
EC2,7100,920,1.117009,
EC2,7100,930,1.155421,
EC2,7100,940,1.157814,
EC2,7100,950,1.307766,
EC2,7100,960,1.282182,
EC2,7100,970,1.310401,
EC2,7100,980,1.259878,
EC2,7100,990,1.274706,
Main,7100,10,0.069204,
Main,7100,20,0.067364,
Main,7100,30,0.064318,
Main,7100,40,0.071601,
Main,7100,50,0.077369,
Main,7100,60,0.070877,
Main,7100,70,0.075734,
Main,7100,80,0.096173,
Main,7100,90,0.126261,
Main,7100,100,0.087798,
Main,7100,110,0.092428,
Main,7100,120,0.077594,
Main,7100,130,0.070676,
Main,7100,140,0.078992,
Main,7100,150,0.074400,
Main,7100,160,0.089221,
Main,7100,170,0.082069,
Main,7100,180,0.088483,
Main,7100,190,0.119727,
Main,7100,200,0.077446,
Main,7100,210,0.093768,
Main,7100,220,0.086078,
Main,7100,230,0.077053,
Main,7100,240,0.097605,
Main,7100,250,0.086037,
Main,7100,260,0.077418,
Main,7100,270,0.078479,
Main,7100,280,0.082877,
Main,7100,290,0.121367,
Main,7100,300,0.106756,
Main,7100,310,0.088698,
Main,7100,320,0.119167,
Main,7100,330,0.085294,
Main,7100,340,0.079182,
Main,7100,350,0.076760,
Main,7100,360,0.100892,
Main,7100,370,0.080239,
Main,7100,380,0.079692,
Main,7100,390,0.074377,
Main,7100,400,0.083174,
Main,7100,410,0.105273,
Main,7100,420,0.079018,
Main,7100,430,0.087162,
Main,7100,440,0.098070,
Main,7100,450,0.086283,
Main,7100,460,0.083680,
Main,7100,470,0.081155,
Main,7100,480,0.102312,
Main,7100,490,0.080416,
Main,7100,500,0.068328,
Main,7100,510,0.090913,
Main,7100,520,0.112710,
Main,7100,530,0.101112,
Main,7100,540,0.100704,
Main,7100,550,0.116614,
Main,7100,560,0.093914,
Main,7100,570,0.083828,
Main,7100,580,0.106585,
Main,7100,590,0.109758,
Main,7100,600,0.087787,
Main,7100,610,0.088085,
Main,7100,620,0.097829,
Main,7100,630,0.084345,
Main,7100,640,0.102324,
Main,7100,650,0.089328,
Main,7100,660,0.087544,
Main,7100,670,0.066328,
Main,7100,680,0.095551,
Main,7100,690,0.084500,
Main,7100,700,0.089091,
Main,7100,710,0.103053,
Main,7100,720,0.084049,
Main,7100,730,0.077915,
Main,7100,740,0.094276,
Main,7100,750,0.136488,
Main,7100,760,0.102926,
Main,7100,770,0.089443,
Main,7100,780,0.090872,
Main,7100,790,0.071522,
Main,7100,800,0.100203,
Main,7100,810,0.112573,
Main,7100,820,0.104070,
Main,7100,830,0.114025,
Main,7100,840,0.101075,
Main,7100,850,0.100619,
Main,7100,860,0.108853,
Main,7100,870,0.099243,
Main,7100,880,0.120725,
Main,7100,890,0.103344,
Main,7100,900,0.125666,
Main,7100,910,0.100844,
Main,7100,920,0.103087,
Main,7100,930,0.090597,
Main,7100,940,0.092615,
Main,7100,950,0.108614,
Main,7100,960,0.098389,
Main,7100,970,0.100521,
Main,7100,980,0.100617,
Main,7100,990,0.098313,
EC2,7200,10,0.041097,
EC2,7200,20,0.031365,
EC2,7200,30,0.026566,
EC2,7200,40,0.022386,
EC2,7200,50,0.027422,
EC2,7200,60,0.038473,
EC2,7200,70,0.034284,
EC2,7200,80,0.029801,
EC2,7200,90,0.042229,
EC2,7200,100,0.039732,
EC2,7200,110,0.048852,
EC2,7200,120,0.064697,
EC2,7200,130,0.065158,
EC2,7200,140,0.073510,
EC2,7200,150,0.072235,
EC2,7200,160,0.076417,
EC2,7200,170,0.078242,
EC2,7200,180,0.080449,
EC2,7200,190,0.097834,
EC2,7200,200,0.094580,
EC2,7200,210,0.119121,
EC2,7200,220,0.110155,
EC2,7200,230,0.118990,
EC2,7200,240,0.131818,
EC2,7200,250,0.138169,
EC2,7200,260,0.152752,
EC2,7200,270,0.153636,
EC2,7200,280,0.168845,
EC2,7200,290,0.172585,
EC2,7200,300,0.231422,
EC2,7200,310,0.225958,
EC2,7200,320,0.218758,
EC2,7200,330,0.213257,
EC2,7200,340,0.226024,
EC2,7200,350,0.236372,
EC2,7200,360,0.246352,
EC2,7200,370,0.273924,
EC2,7200,380,0.286122,
EC2,7200,390,0.297720,
EC2,7200,400,0.304688,
EC2,7200,410,0.323793,
EC2,7200,420,0.321384,
EC2,7200,430,0.344359,
EC2,7200,440,0.356795,
EC2,7200,450,0.377484,
EC2,7200,460,0.459452,
EC2,7200,470,0.534412,
EC2,7200,480,0.530809,
EC2,7200,490,0.493736,
EC2,7200,500,0.535626,
EC2,7200,510,0.459757,
EC2,7200,520,0.454062,
EC2,7200,530,0.472408,
EC2,7200,540,0.483746,
EC2,7200,550,0.496836,
EC2,7200,560,0.510158,
EC2,7200,570,0.524619,
EC2,7200,580,0.542205,
EC2,7200,590,0.559693,
EC2,7200,600,0.572956,
EC2,7200,610,0.605052,
EC2,7200,620,0.676445,
EC2,7200,630,0.636954,
EC2,7200,640,0.652575,
EC2,7200,650,0.768377,
EC2,7200,660,0.718174,
EC2,7200,670,0.694203,
EC2,7200,680,0.716104,
EC2,7200,690,0.819033,
EC2,7200,700,0.794510,
EC2,7200,710,0.768974,
EC2,7200,720,0.775921,
EC2,7200,730,0.784232,
EC2,7200,740,0.799718,
EC2,7200,750,0.819773,
EC2,7200,760,0.843021,
