Function,Total Number,N,Execution Time
EC2,500,70,0.000956,
EC2,500,80,0.001044,
EC2,500,90,0.001206,
EC2,500,100,0.001370,
EC2,500,110,0.001430,
EC2,500,120,0.001575,
EC2,500,130,0.001701,
EC2,500,140,0.001816,
EC2,500,150,0.001911,
EC2,500,160,0.002071,
EC2,500,170,0.002199,
EC2,500,180,0.002351,
EC2,500,190,0.002481,
EC2,500,200,0.002645,
EC2,500,210,0.002758,
EC2,500,220,0.002874,
EC2,500,230,0.003023,
EC2,500,240,0.003178,
EC2,500,250,0.003301,
EC2,500,260,0.003424,
EC2,500,270,0.003511,
EC2,500,280,0.009683,
EC2,500,290,0.003793,
EC2,500,300,0.003885,
EC2,500,310,0.004001,
EC2,500,320,0.004098,
EC2,500,330,0.004250,
EC2,500,340,0.004321,
EC2,500,350,0.004434,
EC2,500,360,0.004546,
EC2,500,370,0.004611,
EC2,500,380,0.004741,
EC2,500,390,0.004794,
EC2,500,400,0.004830,
EC2,500,410,0.004906,
EC2,500,420,0.004928,
EC2,500,430,0.005346,
EC2,500,440,0.005029,
EC2,500,450,0.005053,
EC2,500,460,0.005074,
EC2,500,470,0.009549,
EC2,500,480,0.005118,
EC2,500,490,0.005131,
EC2,500,500,0.011673,
Main,500,10,0.000624,
Main,500,20,0.000688,
Main,500,30,0.000631,
Main,500,40,0.000629,
Main,500,50,0.000695,
Main,500,60,0.000648,
Main,500,70,0.000646,
Main,500,80,0.000648,
Main,500,90,0.000661,
Main,500,100,0.004135,
Main,500,110,0.000650,
Main,500,120,0.004419,
Main,500,130,0.000727,
Main,500,140,0.000651,
Main,500,150,0.000689,
Main,500,160,0.000652,
Main,500,170,0.000679,
Main,500,180,0.000682,
Main,500,190,0.000673,
Main,500,200,0.000671,
Main,500,210,0.000692,
Main,500,220,0.000721,
Main,500,230,0.000677,
Main,500,240,0.000727,
Main,500,250,0.000716,
Main,500,260,0.000694,
Main,500,270,0.000699,
Main,500,280,0.005183,
Main,500,290,0.006586,
Main,500,300,0.000692,
Main,500,310,0.000663,
Main,500,320,0.000736,
Main,500,330,0.000741,
Main,500,340,0.005976,
Main,500,350,0.000662,
Main,500,360,0.000660,
Main,500,370,0.000714,
Main,500,380,0.000646,
Main,500,390,0.000684,
Main,500,400,0.000734,
Main,500,410,0.000685,
Main,500,420,0.004142,
Main,500,430,0.006548,
Main,500,440,0.000677,
Main,500,450,0.000666,
Main,500,460,0.000692,
Main,500,470,0.000709,
Main,500,480,0.000658,
Main,500,490,0.000660,
Main,500,500,0.000677,
EC2,600,10,0.006156,
EC2,600,20,0.004728,
EC2,600,30,0.005581,
EC2,600,40,0.004338,
